
2024-09-30 20:38:16.460020 - skodaracing24 (556943853): None - Type: Photo  |  ChatID: -1002124483077
2024-09-30 20:38:25.296937 - wxschik (7257991755): Чтоб знать альтушка она или нет - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.297438 - GroupAnonymousBot (1087968824): похуй - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.298331 - skodaracing24 (556943853): Ага блять - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.298731 - skodaracing24 (556943853): Сергей тебе это приснилось - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.299257 - skodaracing24 (556943853): Сергей че там с ноутом ? - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.299543 - GroupAnonymousBot (1087968824): ебу дал - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.300847 - skodaracing24 (556943853): Списать катим нихуя не получилось - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.301868 - skodaracing24 (556943853): Он устно спрашивал - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.316832 - verdise (6751720805): Макс, был бы ты здесь - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.317951 - verdise (6751720805): Ваня не вовремя ушел, к нам сегодня девочки пришли - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.317951 - verdise (6751720805): Бля пил бы Даня - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.319258 - verdise (6751720805): Ахуенные брат - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.319667 - verdise (6751720805): ХАХАХАХА - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.320518 - verdise (6751720805): Ебать ты их принизил - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.320712 - verdise (6751720805): Крч сейчас еще по нольпяшке и разгуляемся - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.321527 - verdise (6751720805): Ахажах - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.322868 - verdise (6751720805): Даня нарушил табу
Человеческое преобразование - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.323825 - verdise (6751720805): Ничего - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.324393 - verdise (6751720805): Вскрыл че можно - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.325532 - verdise (6751720805): Заебист - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:27.382662 - B500OP98 (1443833264): None - Type: Video-Voice  |  ChatID: -1002124483077


2024-09-30 20:38:27.382662 - B500OP98 (1443833264): None - Type: Video-Voice  |  ChatID: -1002124483077


2024-09-30 20:38:27.383728 - B500OP98 (1443833264): None - Type: Video-Voice  |  ChatID: -1002124483077


2024-09-30 20:38:27.386650 - skodaracing24 (556943853): None - Type: Video-Voice  |  ChatID: -1002124483077


2024-09-30 20:38:27.387217 - skodaracing24 (556943853): None - Type: Video-Voice  |  ChatID: -1002124483077


2024-09-30 20:38:27.387610 - skodaracing24 (556943853): None - Type: Video-Voice  |  ChatID: -1002124483077


2024-09-30 20:38:27.402260 - GroupAnonymousBot (1087968824): че жарить собрался - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:27.403261 - B500OP98 (1443833264): Шашлык - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:27.403261 - B500OP98 (1443833264): В дождь шашлыки ебашим - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:27.404528 - i_toksichen (7145369362): Я же говорю похуй - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:27.405030 - B500OP98 (1443833264): Че - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:27.405030 - GroupAnonymousBot (1087968824): чтобы сергуню прав лешили - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:27.406121 - skodaracing24 (556943853): Ну большака надо порадовать - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:27.406121 - GroupAnonymousBot (1087968824): он мега счастлив будет - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:27.407121 - GroupAnonymousBot (1087968824): рил - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:27.407121 - GroupAnonymousBot (1087968824): а если на коляску инвалида - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:27.408122 - GroupAnonymousBot (1087968824): бля рил - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:27.408122 - GroupAnonymousBot (1087968824): че делать тогда будут - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:27.423913 - verdise (6751720805): None - Type: Sticker  |  ChatID: -1002124483077


2024-09-30 20:38:27.423913 - verdise (6751720805): Артура - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:27.427913 - verdise (6751720805): АХАХАХА - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:27.428496 - verdise (6751720805): А если к велику прицепить - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:27.428927 - verdise (6751720805): АХХАХА - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:55:37.209166 - skodaracing24 (556943853): None - Type: Voice Message  |  ChatID: -1002124483077


2024-10-08 09:55:37.210125 - skodaracing24 (556943853): None - Type: Voice Message  |  ChatID: -1002124483077


2024-10-08 09:55:37.211161 - skodaracing24 (556943853): None - Type: Voice Message  |  ChatID: -1002124483077


2024-10-08 09:55:37.213148 - wxschik (7257991755): None - Type: Voice Message  |  ChatID: -1002124483077


2024-10-08 09:55:37.213148 - wxschik (7257991755): None - Type: Voice Message  |  ChatID: -1002124483077


2024-10-08 09:55:37.213148 - wxschik (7257991755): None - Type: Voice Message  |  ChatID: -1002124483077


2024-10-08 09:55:37.220489 - wxschik (7257991755): None - Type: Voice Message  |  ChatID: -1002124483077


2024-10-08 09:55:37.220489 - wxschik (7257991755): None - Type: Voice Message  |  ChatID: -1002124483077


2024-10-08 09:55:37.221424 - wxschik (7257991755): None - Type: Voice Message  |  ChatID: -1002124483077


2024-10-08 09:55:37.222795 - GroupAnonymousBot (1087968824): None - Type: Video  |  ChatID: -1002124483077


2024-10-08 09:55:37.222795 - GroupAnonymousBot (1087968824): None - Type: Video  |  ChatID: -1002124483077


2024-10-08 09:55:37.229568 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:37.229994 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:37.231033 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:37.231736 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:37.231902 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:37.232971 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:37.233161 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:37.234094 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:37.254854 - GroupAnonymousBot (1087968824): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:37.255317 - GroupAnonymousBot (1087968824): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:37.256344 - GroupAnonymousBot (1087968824): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:37.256344 - GroupAnonymousBot (1087968824): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:37.258347 - skodaracing24 (556943853): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:37.259347 - skodaracing24 (556943853): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:37.260346 - skodaracing24 (556943853): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:37.260346 - skodaracing24 (556943853): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:37.276380 - skodaracing24 (556943853): Сегодня Кент,а завтра мент - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:55:37.276380 - wxschik (7257991755): Все - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:55:37.277380 - wxschik (7257991755): Ухожу в отпуск - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:55:37.278174 - wxschik (7257991755): 10 выезжаю к вечеру - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:55:37.278870 - wxschik (7257991755): В пятницу приеду - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:55:37.279833 - skodaracing24 (556943853): Ахуеть - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:55:37.280946 - skodaracing24 (556943853): Это пиздец будет - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:55:37.282305 - skodaracing24 (556943853): Мы че натворим вообще - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:55:37.282305 - wxschik (7257991755): Еще и отпускные придут с зп - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:55:37.283448 - skodaracing24 (556943853): Покупай всем шмар в Красноярске - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:55:37.287171 - GroupAnonymousBot (1087968824): хуева - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:55:37.288339 - skodaracing24 (556943853): Хач что ли - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:55:37.289823 - GroupAnonymousBot (1087968824): сергуня - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:55:37.290286 - GroupAnonymousBot (1087968824): максюрик - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:55:37.334905 - verdise (6751720805): а где данчурик - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:55:38.228279 - skodaracing24 (556943853): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:38.228844 - skodaracing24 (556943853): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:38.243016 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:38.243016 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:38.244184 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:38.244488 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:38.244488 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:38.245498 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:38.246502 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:38.246502 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:38.247498 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:38.247498 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:55:38.297437 - verdise (6751720805): а витюрик - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:55:38.332043 - verdise (6751720805): Я просто уграюа - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:55:38.332423 - verdise (6751720805): Эпл сидит ахуевает, откуда у него ноут который даже не анонсировали - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:56:40.915251 - skodaracing24 (556943853): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:56:40.916252 - skodaracing24 (556943853): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:56:41.065425 - wxschik (7257991755): Через 15 минут пошел спать - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:56:41.068426 - GroupAnonymousBot (1087968824): да - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:56:41.122634 - skodaracing24 (556943853): Ебать у меня куратор ебанутый - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:56:41.124386 - skodaracing24 (556943853): Я хуею - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:56:41.125787 - GroupAnonymousBot (1087968824): он чурка ему нужно его поддерживать - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:56:41.185002 - verdise (6751720805): это было на нг? - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:56:41.236750 - skodaracing24 (556943853): Он ебанный дрищ как я - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:56:41.238751 - skodaracing24 (556943853): Только выше - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:56:41.239797 - skodaracing24 (556943853): Что делает еще большим дрищем - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:56:41.240749 - skodaracing24 (556943853): Киргиз - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:56:41.257294 - verdise (6751720805): ХАПХПХААВПХПХВАПХВАХПВАПХВАХПВА - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:56:41.258659 - verdise (6751720805): С ДНЕЕЕЕЕЕЕЕЕЕЕЕМ РОЖДЕНИЯЯ - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:57:05.866156 - skodaracing24 (556943853): None - Type: Video  |  ChatID: -1002124483077


2024-10-08 09:57:05.867156 - skodaracing24 (556943853): None - Type: Video  |  ChatID: -1002124483077


2024-10-08 09:57:05.905723 - skodaracing24 (556943853): Это Лизы школа - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:57:05.906878 - skodaracing24 (556943853): Самый прикол - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:57:05.984322 - verdise (6751720805): АХХАХАХА - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:57:05.985292 - verdise (6751720805): бляяя - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:57:55.931334 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:57:55.932336 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 09:57:56.065875 - GroupAnonymousBot (1087968824): заебись - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:57:56.068876 - skodaracing24 (556943853): Ахахахахах - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:57:56.069712 - GroupAnonymousBot (1087968824): ментовские войны 10 - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:57:56.069712 - GroupAnonymousBot (1087968824): хуль смешно так с этого название - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:57:56.070604 - GroupAnonymousBot (1087968824): только в рашке такое придумать могут - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:57:56.071395 - skodaracing24 (556943853): Ментозавры - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:57:56.193420 - verdise (6751720805): Хотел бы побыть в роли мусора? Постдеть в офисе и разргребать заявы плакс - Type: Text  |  ChatID: -1002124483077


2024-10-08 09:57:58.645687 - GroupAnonymousBot (1087968824): ну да - Type: Text  |  ChatID: -1002124483077


2024-10-08 16:44:26.016981 - skodaracing24 (556943853): None - Type: Video-Voice  |  ChatID: -1002124483077


2024-10-08 16:44:26.017906 - skodaracing24 (556943853): None - Type: Video-Voice  |  ChatID: -1002124483077


2024-10-08 16:44:26.019058 - skodaracing24 (556943853): None - Type: Video-Voice  |  ChatID: -1002124483077


2024-10-08 16:44:26.035790 - skodaracing24 (556943853): Ебать снег - Type: Text  |  ChatID: -1002124483077


2024-10-08 16:44:26.039899 - verdise (6751720805): Я щас иду под него - Type: Text  |  ChatID: -1002124483077


2024-10-08 21:22:10.584005 - GroupAnonymousBot (1087968824): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 21:22:10.584005 - GroupAnonymousBot (1087968824): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 21:22:10.590004 - skodaracing24 (556943853): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 21:22:10.590004 - skodaracing24 (556943853): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 21:22:10.591101 - skodaracing24 (556943853): None - Type: Photo  |  ChatID: -1002124483077


2024-10-08 21:22:10.591101 - skodaracing24 (556943853): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.538934 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.539945 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.541936 - GroupAnonymousBot (1087968824): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.541936 - GroupAnonymousBot (1087968824): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.548935 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.549936 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.550936 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.550936 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.559663 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.559663 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.559663 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.560652 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.561652 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.561652 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.561652 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.561652 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.562652 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.562652 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.563652 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.563652 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.564652 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.564652 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.580810 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.581309 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.775227 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.775741 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.781034 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:57.781550 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:58.037120 - verdise (6751720805): None - Type: Document  |  ChatID: -1002124483077


2024-10-09 21:37:58.037120 - verdise (6751720805): None - Type: Document  |  ChatID: -1002124483077


2024-10-09 21:37:58.037635 - verdise (6751720805): None - Type: Document  |  ChatID: -1002124483077


2024-10-09 21:37:58.044542 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:58.045033 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:58.047032 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:37:58.047032 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:19.111596 - B500OP98 (1443833264): None - Type: Video  |  ChatID: -1002124483077


2024-10-09 21:38:19.112094 - B500OP98 (1443833264): None - Type: Video  |  ChatID: -1002124483077


2024-10-09 21:38:19.115086 - verdise (6751720805): None - Type: Video  |  ChatID: -1002124483077


2024-10-09 21:38:19.115611 - verdise (6751720805): None - Type: Video  |  ChatID: -1002124483077


2024-10-09 21:38:19.117586 - verdise (6751720805): None - Type: Voice Message  |  ChatID: -1002124483077


2024-10-09 21:38:19.118086 - verdise (6751720805): None - Type: Voice Message  |  ChatID: -1002124483077


2024-10-09 21:38:19.118086 - verdise (6751720805): None - Type: Voice Message  |  ChatID: -1002124483077


2024-10-09 21:38:19.496968 - verdise (6751720805): None - Type: GIF  |  ChatID: -1002124483077


2024-10-09 21:38:19.496968 - verdise (6751720805): None - Type: GIF  |  ChatID: -1002124483077


2024-10-09 21:38:21.102328 - B500OP98 (1443833264): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:21.103319 - B500OP98 (1443833264): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:21.111802 - B500OP98 (1443833264): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:21.111802 - B500OP98 (1443833264): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:22.836238 - verdise (6751720805): None - Type: GIF  |  ChatID: -1002124483077


2024-10-09 21:38:22.837297 - verdise (6751720805): None - Type: GIF  |  ChatID: -1002124483077


2024-10-09 21:38:22.843032 - verdise (6751720805): None - Type: GIF  |  ChatID: -1002124483077


2024-10-09 21:38:22.843559 - verdise (6751720805): None - Type: GIF  |  ChatID: -1002124483077


2024-10-09 21:38:22.847975 - i_toksichen (7145369362): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:22.848475 - i_toksichen (7145369362): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:22.849986 - i_toksichen (7145369362): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:22.850475 - i_toksichen (7145369362): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:22.855727 - B500OP98 (1443833264): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:22.855829 - B500OP98 (1443833264): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:22.860065 - B500OP98 (1443833264): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:22.860065 - B500OP98 (1443833264): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:22.865795 - B500OP98 (1443833264): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:22.865795 - B500OP98 (1443833264): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:27.802058 - GroupAnonymousBot (1087968824): None - Type: Video  |  ChatID: -1002124483077


2024-10-09 21:38:27.802058 - GroupAnonymousBot (1087968824): None - Type: Video  |  ChatID: -1002124483077


2024-10-09 21:38:27.805559 - verdise (6751720805): None - Type: Video  |  ChatID: -1002124483077


2024-10-09 21:38:27.805559 - verdise (6751720805): None - Type: Video  |  ChatID: -1002124483077


2024-10-09 21:38:27.825521 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:27.826512 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:27.827513 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:27.827513 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:27.829552 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:27.830067 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:27.831191 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:27.831191 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:27.834951 - GroupAnonymousBot (1087968824): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:27.835496 - GroupAnonymousBot (1087968824): None - Type: Photo  |  ChatID: -1002124483077


2024-10-09 21:38:28.644730 - verdise (6751720805): None - Type: Video  |  ChatID: -1002124483077


2024-10-09 21:38:28.645303 - verdise (6751720805): None - Type: Video  |  ChatID: -1002124483077


2024-10-09 21:38:28.650681 - verdise (6751720805): None - Type: Video  |  ChatID: -1002124483077


2024-10-09 21:38:28.651165 - verdise (6751720805): None - Type: Video  |  ChatID: -1002124483077


